#name (cmd = mergePeaks -d given K27m3-1-peaks.txt K27m3-2-peaks.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	K27m3-1-peaks.txt	K27m3-2-peaks.txt
Merged-chr7-29792334-1	chr7	29792181	29792487	+	14.300000	K27m3-2-peaks.txt	1		chr7-909
Merged-chr7-65643963-1	chr7	65643810	65644116	+	13.000000	K27m3-2-peaks.txt	1		chr7-918
Merged-chr7-89632836-1	chr7	89632683	89632989	+	14.300000	K27m3-2-peaks.txt	1		chr7-924
Merged-chr7-100939568-1	chr7	100939415	100939721	+	14.900000	K27m3-2-peaks.txt	1		chr7-927
Merged-chr7-144738002-1	chr7	144737849	144738155	+	14.300000	K27m3-2-peaks.txt	1		chr7-942
Merged-chr7-25071880-1	chr7	25071727	25072033	+	13.600000	K27m3-2-peaks.txt	1		chr7-949
Merged-chr2-102184967-1	chr2	102184814	102185120	+	9.910000	K27m3-2-peaks.txt	1		chr2-2103
Merged-chr7-43784168-1	chr7	43784015	43784321	+	12.400000	K27m3-2-peaks.txt	1		chr7-958
Merged-chr7-44522333-1	chr7	44522180	44522486	+	13.000000	K27m3-2-peaks.txt	1		chr7-960
Merged-chr7-79130280-1	chr7	79130127	79130433	+	16.100000	K27m3-2-peaks.txt	1		chr7-970
Merged-chr7-79709682-1	chr7	79709529	79709835	+	14.900000	K27m3-2-peaks.txt	1		chr7-973
Merged-chr7-90887757-1	chr7	90887604	90887910	+	14.900000	K27m3-2-peaks.txt	1		chr7-977
Merged-chr2-122367482-1	chr2	122367329	122367635	+	9.290000	K27m3-2-peaks.txt	1		chr2-2130
Merged-chr2-128893672-1	chr2	128893519	128893825	+	9.910000	K27m3-2-peaks.txt	1		chr2-2134
Merged-chr7-127363777-1	chr7	127363624	127363930	+	14.300000	K27m3-2-peaks.txt	1		chr7-988
Merged-chr2-134461376-1	chr2	134461223	134461529	+	9.290000	K27m3-2-peaks.txt	1		chr2-2142
Merged-chr2-157456549-1	chr2	157456396	157456702	+	9.290000	K27m3-2-peaks.txt	1		chr2-2175
Merged-chr2-163289539-1	chr2	163289386	163289692	+	8.670000	K27m3-2-peaks.txt	1		chr2-2182
Merged-chr9-51007818-1	chr9	51007665	51007971	+	11.800000	K27m3-2-peaks.txt	1		chr9-905
Merged-chr9-58860079-1	chr9	58859926	58860232	+	12.400000	K27m3-2-peaks.txt	1		chr9-912
Merged-chr9-63398203-1	chr9	63398050	63398356	+	12.400000	K27m3-2-peaks.txt	1		chr9-915
Merged-chr9-74108587-1	chr9	74108434	74108740	+	12.400000	K27m3-2-peaks.txt	1		chr9-918
Merged-chr9-55206246-1	chr9	55206093	55206399	+	10.500000	K27m3-2-peaks.txt	1		chr9-1326
Merged-chr9-99629008-1	chr9	99628855	99629161	+	12.400000	K27m3-2-peaks.txt	1		chr9-925
Merged-chr9-103229865-1	chr9	103229712	103230018	+	11.200000	K27m3-2-peaks.txt	1		chr9-928
Merged-chr9-57486705-1	chr9	57486552	57486858	+	9.290000	K27m3-2-peaks.txt	1		chr9-1333
Merged-chr9-22164059-1	chr9	22163906	22164212	+	11.200000	K27m3-2-peaks.txt	1		chr9-947
Merged-chr9-69749559-1	chr9	69749406	69749712	+	9.290000	K27m3-2-peaks.txt	1		chr9-1357
Merged-chr9-42123459-1	chr9	42123306	42123612	+	13.000000	K27m3-2-peaks.txt	1		chr9-955
Merged-chr9-78347257-1	chr9	78347104	78347410	+	9.290000	K27m3-2-peaks.txt	1		chr9-1361
Merged-chr9-78428274-1	chr9	78428121	78428427	+	9.290000	K27m3-2-peaks.txt	1		chr9-1362
