#name (cmd = mergePeaks -d given S5P-1-peaks.txt S5P-2-peaks.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	S5P-1-peaks.txt	S5P-2-peaks.txt
Merged-chr7-45924327-1	chr7	45924171	45924483	+	25.100000	S5P-2-peaks.txt	1		chr7-907
Merged-chr7-139364233-1	chr7	139364077	139364389	+	24.600000	S5P-2-peaks.txt	1		chr7-910
Merged-chr7-80993544-1	chr7	80993388	80993700	+	25.100000	S5P-2-peaks.txt	1		chr7-922
Merged-chr7-43313047-1	chr7	43312891	43313203	+	24.799999	S5P-2-peaks.txt	1		chr7-927
Merged-chr7-108950630-1	chr7	108950474	108950786	+	25.799999	S5P-2-peaks.txt	1		chr7-928
Merged-chr2-146467444-1	chr2	146467288	146467600	+	12.800000	S5P-2-peaks.txt	1		chr2-2101
Merged-chr7-138940597-1	chr7	138940441	138940753	+	25.100000	S5P-2-peaks.txt	1		chr7-951
Merged-chr7-7126928-1	chr7	7126772	7127084	+	24.799999	S5P-2-peaks.txt	1		chr7-953
Merged-chr7-45406627-1	chr7	45406471	45406783	+	24.299999	S5P-2-peaks.txt	1		chr7-955
Merged-chr2-170324168-1	chr2	170324012	170324324	+	13.000000	S5P-2-peaks.txt	1		chr2-2116
Merged-chr7-24462543-1	chr7	24462387	24462699	+	23.900000	S5P-2-peaks.txt	1		chr7-963
Merged-chr7-78578041-1	chr7	78577885	78578197	+	24.100000	S5P-2-peaks.txt	1		chr7-975
Merged-chr2-63551120-1	chr2	63550964	63551276	+	12.800000	S5P-2-peaks.txt	1		chr2-2132
Merged-chr7-27474866-1	chr7	27474710	27475022	+	24.299999	S5P-2-peaks.txt	1		chr7-983
Merged-chr2-101797575-1	chr2	101797419	101797731	+	12.500000	S5P-2-peaks.txt	1		chr2-2141
Merged-chr7-45018047-1	chr7	45017891	45018203	+	23.400000	S5P-2-peaks.txt	1		chr7-996
Merged-chr7-65862866-1	chr7	65862710	65863022	+	23.900000	S5P-2-peaks.txt	1		chr7-998
Merged-chr2-159013110-1	chr2	159012954	159013266	+	12.800000	S5P-2-peaks.txt	1		chr2-2161
Merged-chr2-164997566-1	chr2	164997410	164997722	+	12.800000	S5P-2-peaks.txt	1		chr2-2165
Merged-chr2-4597128-1	chr2	4596972	4597284	+	12.500000	S5P-2-peaks.txt	1		chr2-2171
Merged-chr2-34913897-1	chr2	34913741	34914053	+	12.300000	S5P-2-peaks.txt	1		chr2-2179
Merged-chr2-80805822-1	chr2	80805666	80805978	+	12.300000	S5P-2-peaks.txt	1		chr2-2188
Merged-chr9-109549918-1	chr9	109549762	109550074	+	14.900000	S5P-2-peaks.txt	1		chr9-1302
Merged-chr9-116639973-1	chr9	116639817	116640129	+	14.700000	S5P-2-peaks.txt	1		chr9-1304
Merged-chr9-65141549-1	chr9	65141393	65141705	+	20.700001	S5P-2-peaks.txt	1		chr9-904
Merged-chr9-65391173-1	chr9	65391017	65391329	+	20.700001	S5P-2-peaks.txt	1		chr9-911
Merged-chr9-108431720-1	chr9	108431564	108431876	+	14.700000	S5P-2-peaks.txt	1		chr9-1329
Merged-chr9-20070968-1	chr9	20070812	20071124	+	14.000000	S5P-2-peaks.txt	1		chr9-1337
Merged-chr9-95845200-1	chr9	95845044	95845356	+	20.200001	S5P-2-peaks.txt	1		chr9-931
Merged-chr9-3439371-1	chr9	3439215	3439527	+	20.000000	S5P-2-peaks.txt	1		chr9-934
Merged-chr9-42179582-1	chr9	42179426	42179738	+	14.000000	S5P-2-peaks.txt	1		chr9-1342
Merged-chr9-45300746-1	chr9	45300590	45300902	+	20.000000	S5P-2-peaks.txt	1		chr9-947
Merged-chr9-45906739-1	chr9	45906583	45906895	+	19.799999	S5P-2-peaks.txt	1		chr9-964
Merged-chr9-106203224-1	chr9	106203068	106203380	+	19.500000	S5P-2-peaks.txt	1		chr9-968
Merged-chr9-37101571-1	chr9	37101415	37101727	+	14.000000	S5P-2-peaks.txt	1		chr9-1373
Merged-chr9-40397506-1	chr9	40397350	40397662	+	14.000000	S5P-2-peaks.txt	1		chr9-1375
Merged-chr5-90924753-1	chr5	90924597	90924909	+	20.000000	S5P-2-peaks.txt	1		chr5-1200
Merged-chr5-122989287-1	chr5	122989131	122989443	+	18.799999	S5P-2-peaks.txt	1		chr5-1206
Merged-chr5-20677052-1	chr5	20676896	20677208	+	18.100000	S5P-2-peaks.txt	1		chr5-1209
Merged-chr9-40686188-1	chr9	40686032	40686344	+	13.700000	S5P-2-peaks.txt	1		chr9-1396
Merged-chr9-44497020-1	chr9	44496864	44497176	+	14.000000	S5P-2-peaks.txt	1		chr9-1397
Merged-chr5-23737393-1	chr5	23737237	23737549	+	18.799999	S5P-2-peaks.txt	1		chr5-1225
Merged-chr5-50058602-1	chr5	50058446	50058758	+	18.100000	S5P-2-peaks.txt	1		chr5-1236
Merged-chr5-124250193-1	chr5	124250037	124250349	+	17.600000	S5P-2-peaks.txt	1		chr5-1245
Merged-chr8-57341056-1	chr8	57340900	57341212	+	16.100000	S5P-2-peaks.txt	1		chr8-1102
Merged-chr5-26692515-1	chr5	26692359	26692671	+	17.799999	S5P-2-peaks.txt	1		chr5-1266
Merged-chr5-27819235-1	chr5	27819079	27819391	+	17.400000	S5P-2-peaks.txt	1		chr5-1267
Merged-chr8-110009093-1	chr8	110008937	110009249	+	15.900000	S5P-2-peaks.txt	1		chr8-1111
Merged-chr8-90877335-1	chr8	90877179	90877491	+	16.100000	S5P-2-peaks.txt	1		chr8-1126
Merged-chr5-100217958-1	chr5	100217802	100218114	+	17.400000	S5P-2-peaks.txt	1		chr5-1280
Merged-chr5-109996203-1	chr5	109996047	109996359	+	17.600000	S5P-2-peaks.txt	1		chr5-1283
Merged-chr5-24752000-1	chr5	24751844	24752156	+	16.900000	S5P-2-peaks.txt	1		chr5-1289
Merged-chr1-40681259-1	chr1	40681103	40681415	+	18.600000	S5P-2-peaks.txt	1		chr1-1101
Merged-chr5-34525901-1	chr5	34525745	34526057	+	17.100000	S5P-2-peaks.txt	1		chr5-1290
Merged-chr5-63649921-1	chr5	63649765	63650077	+	17.100000	S5P-2-peaks.txt	1		chr5-1292
Merged-chr8-99415766-1	chr8	99415610	99415922	+	15.400000	S5P-2-peaks.txt	1		chr8-1143
Merged-chr8-106150600-1	chr8	106150444	106150756	+	15.200000	S5P-2-peaks.txt	1		chr8-1162
Merged-chr8-25962943-1	chr8	25962787	25963099	+	15.200000	S5P-2-peaks.txt	1		chr8-1166
Merged-chr1-59750001-1	chr1	59749845	59750157	+	18.600000	S5P-2-peaks.txt	1		chr1-1134
Merged-chr1-131963207-1	chr1	131963051	131963363	+	18.100000	S5P-2-peaks.txt	1		chr1-1136
Merged-chr8-33974296-1	chr8	33974140	33974452	+	15.400000	S5P-2-peaks.txt	1		chr8-1171
Merged-chr1-186705290-1	chr1	186705134	186705446	+	18.299999	S5P-2-peaks.txt	1		chr1-1148
Merged-chr8-90297617-1	chr8	90297461	90297773	+	14.900000	S5P-2-peaks.txt	1		chr8-1182
Merged-chr8-3754450-1	chr8	3754294	3754606	+	16.900000	S5P-2-peaks.txt	1		chr8-1187
Merged-chr8-8700703-1	chr8	8700547	8700859	+	14.700000	S5P-2-peaks.txt	1		chr8-1188
Merged-chr1-119581466-1	chr1	119581310	119581622	+	17.600000	S5P-2-peaks.txt	1		chr1-1158
Merged-chr4-143306970-1	chr4	143306814	143307126	+	22.400000	S5P-2-peaks.txt	1		chr4-1001
Merged-chr8-14911352-1	chr8	14911196	14911508	+	14.900000	S5P-2-peaks.txt	1		chr8-1190
Merged-chr8-68794081-1	chr8	68793925	68794237	+	14.900000	S5P-2-peaks.txt	1		chr8-1195
Merged-chr1-20951374-1	chr1	20951218	20951530	+	17.400000	S5P-2-peaks.txt	1		chr1-1165
Merged-chr1-55362948-1	chr1	55362792	55363104	+	18.299999	S5P-2-peaks.txt	1		chr1-1168
Merged-chr1-165282001-1	chr1	165281845	165282157	+	17.400000	S5P-2-peaks.txt	1		chr1-1176
Merged-chr4-114987360-1	chr4	114987204	114987516	+	22.200001	S5P-2-peaks.txt	1		chr4-1029
Merged-chr1-23383012-1	chr1	23382856	23383168	+	17.100000	S5P-2-peaks.txt	1		chr1-1180
Merged-chr4-145538355-1	chr4	145538199	145538511	+	22.200001	S5P-2-peaks.txt	1		chr4-1035
